Hyllypaikka,Tekijä,Nimeke,ISBN/ISSN,Julkaisuvuosi,Lainojen lkm.
84.2 D,"Jokinen, Seppo, kirjoittaja.",Kuolevaksi julistettu,978-952-289-239-3,2015,3845
84.2,"Nopola, Sinikka.",Risto Räppääjä ja viimeinen tötterö,978-951-31-3899-8,2007,2773
85.22,"Havukainen, Aino.",Tatun ja Patun kummat keksinnöt kautta aikojen,978-951-1-27544-2,2013,2762
84.2 H ,"Nopola, Sinikka, kirjoittaja.",Risto Räppääjä ja kuuluisa Kamilla,978-951-31-4998-7,2009,2690
84.2,"Jokinen, Seppo.",Mustat sydämet,978-952-289-136-5,2014,2534
84.2,"Nopola, Sinikka.",Risto Räppääjä ja villi kone,978-951-31-3732-8,2006,2516
85.22,"Havukainen, Aino.",Tatun ja Patun avaruusseikkailu,978-951-1-25460-7,2011,2478
84.2 H,"Nopola, Sinikka.",Risto Räppääjä ja Sevillan saituri,978-951-31-7997-7,2014,2470
84.2 H,"Nopola, Sinikka, kirjoittaja.",Risto Räppääjä ja kaksoisolento,978-951-31-7348-7,2013,2439
84.2,"Nopola, Sinikka, kirjoittaja.",Risto Räppääjä ja komea Kullervo,978-951-31-2550-9,2002,2438
85.12 LA,"Nopola, Sinikka, kirjoittaja.",Risto Räppääjä saa isän,978-951-31-5147-8,2011,2430
85.22,"Havukainen, Aino.",Tatu ja Patu supersankareina,978-951-1-24541-4,2010,2416
84.2,"Nopola, Sinikka, kirjoittaja.",Risto Räppääjä ja sitkeä finni,951-31-2772-9,2003,2405
85.22,"Havukainen, Aino.",Tatu ja Patu päiväkodissa,978-951-1-19658-7,2004,2396
85.22 KU,"Havukainen, Aino.",Tatu ja Patu työn touhussa,978-951-1-21314-7,2006,2382
84.2,"Nopola, Sinikka, kirjoittaja.",Risto Räppääjä ja Nuudelipää,978-951-31-1478-7,2000,2372
84.2,"Nopola, Sinikka, kirjoittaja.",Risto Räppääjä ja kauhea makkara,951-31-1145-8,1998,2346
84.2,"Nopola, Sinikka, kirjoittaja.",Risto Räppääjä ja Hilpuri Tilli,951-31-3116-5,2004,2285
84.2,"Nopola, Sinikka, kirjoittaja.",Risto Räppääjä ja nukkavieru Nelli,978-951-31-6874-2,2012,2250
84.2,"Härkönen, Anna-Leena.",Kaikki oikein,978-951-1-27316-5,2014,2237
84.2,"Nopola, Sinikka, kirjoittaja.","Hetki lyö, Risto Räppääjä",978-951-31-0995-0,1997,2230
85.22,"Havukainen, Aino.",Tatun ja Patun Suomi,978-951-1-21915-6,2007,2218
84.2,"Jungstedt, Mari, kirjoittaja.",Viimeinen näytös,978-951-1-26964-9,2015,2217
84.2,"Mustonen, Enni, kirjoittaja.",Emännöitsijä,978-951-1-27583-1,2015,2203
84.2,"Mustonen, Enni, kirjoittaja.",Lapsenpiika,978-951-1-27582-4,2014,2182
84.2,"Kivelä, Anneli, kirjoittaja.",Taikatemppuja Katajamäellä,978-951-23-5964-6,2015,2141
84.2,"Nuotio, Eppu, kirjoittaja.",Mutta minä rakastan sinua : romaani,978-951-1-26974-8,2015,2137
84.2,"Nopola, Sinikka, kirjoittaja.",Risto Räppääjä ja pakastaja-Elvi,951-31-2050-3,2001,2125
85.22,"Havukainen, Aino.",Tatun ja Patun oudot kojeet,978-951-1-20084-0,2005,2123
84.2,"Nesbø, Jo, kirjoittaja.",Verta lumella. Osa I /,978-951-0-40668-7,2015,2121
85.22,"Havukainen, Aino.",Tatun ja Patun outo unikirja,978-951-1-22673-4,2008,2074
85.22,"Havukainen, Aino.",Tatun ja Patun oudot aakkoset,978-951-1-23687-0,2009,1966
68.2,"Havukainen, Aino.","Tatu ja Patu, syömään! : käsikirja kaikille niille, jotka ovat joskus syöneet, syövät juuri nyt tai suunnittelevat syövänsä",978-951-1-28239-6,2014,1885
85.22,"Havukainen, Aino.",Tatu ja Patu Helsingissä,978-951-1-26284-8,2012,1867
84.2,"Lehtinen, Tuija, kirjoittaja.",Armon aika,978-951-1-28219-8,2014,1866
84.2,"Rauhala, Pauliina.",Taivaslaulu,978-951-20-9128-7,2013,1859
84.2 D,"Läckberg, Camilla, kirjoittaja.",Leijonankesyttäjä,978-951-20-9564-3,2015,1846
84.2,"Kinnunen, Tommi.",Neljäntienristeys,978-951-0-40382-2,2014,1799
84.2,"Valtonen, Jussi, kirjoittaja.",He eivät tiedä mitä tekevät : romaani,978-951-31-7429-3,2014,1773
84.2,"Kyrö, Tuomas.","Ilosia aikoja, Mielensäpahoittaja",978-951-0-40762-2,2014,1759
84.2,"Kähkönen, Sirpa.",Graniittimies,978-951-1-28097-2,2014,1719
84.2 D,"Jokinen, Seppo.",Vihan sukua,978-952-289-047-4,2013,1705
84.2,"Jungstedt, Mari, kirjoittaja.",Joka yksin kulkee,978-951-1-28777-3,2015,1692
84.2,"Lindgren, Minna, kirjoittaja.",Ehtoolehdon tuho,978-951-851-646-3,2015,1690
84.2 D,"Nesbø, Jo, kirjoittaja.",Isänsä poika,978-951-0-40856-8,2014,1652
84.2,"Rissanen, Pirjo, kirjoittaja.",Terveisiä Armille,978-951-20-9960-3,2015,1623
79.8,"Havukainen, Aino.","Tatu ja Patu pihalla : käsikirja kaikille niille, joilla ei ole mitään tekemistä ja niille, jotka ovat jo unohtaneet leikkimisen jalon taidon",978-951-1-26553-5,2012,1609
84.2,"Tuominen, Pirjo.","Toinen silmä päivä, toinen yö : jännitysromaani",978-951-31-7884-0,2014,1574
84.2,"Kepler, Lars, kirjoittaja.",Vainooja : rikosromaani,978-951-31-8141-3,2015,1514
84.2,"Olsson, Linda, kirjoittaja.",Kun mustarastas laulaa,978-951-20-9626-8,2015,1512
84.2 D,"Lehtolainen, Leena, kirjoittaja.",Surunpotku,978-951-31-8527-5,2015,1501
84.2,"Härkönen, Anna-Leena, kirjoittaja.",Ihana nähä! : ja muita kirjoituksia,978-951-1-28341-6,2015,1494
84.2 H,"Pilkey, Dav, kirjoittaja.",Kapteeni Kalsari ja Hippi Helihousun hirvittävä paluu,978-951-31-7754-6,2014,1488
84.2,"Mäki, Reijo, kirjoittaja.",Tulivuori,978-951-1-29066-7,2015,1487
84.2,"Leon, Donna, kirjoittaja.",Kultamuna,978-951-1-28607-3,2015,1484
84.2,"Pakkanen, Outi.",Marius,978-952-289-137-2,2014,1476
84.2,"Jokinen, Seppo.",Hervantalainen,978-952-5918-71-7,2012,1460
84.2,"Nopola, Sinikka.",Risto Räppääjä : erittäin salainen - top secret,978-951-31-4473-9,2008,1434
85.22,"Wieslander, Jujja, kirjoittaja.",Mimmi Lehmä uimahallissa,978-951-883-631-8,2014,1409
84.2 D,"Remes, Ilkka, kirjoittaja.",Horna,978-951-0-40702-8,2014,1406
84.2 JÄN,"Sipilä, Jarkko, kirjoittaja.",Mies kuumasta,978-952-289-243-0,2015,1392
84.2,"Kivelä, Anneli.",Valoa ja varjoa Katajamäellä,978-951-23-5798-7,2014,1381
84.2,"Arhippa, Pirkko, kirjoittaja.",Parhain sä oot : jännitysromaani,978-951-883-633-2,2014,1368
84.2,"Vallgren, Carl-Johan, kirjoittaja.",Varjopoika,978-951-1-28251-8,2015,1352
85.22,"Kunnas, Mauri.",Aarresaari : kunnasmainen tulkinta Robert Louis Stevensonin klassikosta,978-951-1-26442-2,2012,1345
85.22,"Kunnas, Mauri, taiteilija, kirjoittaja.",Herra Hakkarainen harrastaa,978-951-1-24246-8,2014,1344
84.2,"Mustonen, Enni.",Paimentyttö,978-951-1-27207-6,2013,1343
3,"Guinness world records 2015, suomi",Guinness world records 2015,978-951-32-3988-6,2014,1313
84.2,"Parvela, Timo, kirjoittaja.",Ella ja kaverit lapsenvahteina,978-951-31-8267-0,2015,1308
85.22,"Havukainen, Aino.",Veera ja maatalon eläimet,951-1-17448-7,2001,1304
84.2,"Lehtolainen, Leena.",Kuusi kohtausta Sadusta,978-951-31-8028-7,2014,1301
85.32 H,"Pilkey, Dav.",Supervaippavauvan seikkailut : Erno Parran ja Huuko Hollinsin ensimmäinen sarjakuvaromaani,978-951-31-7145-2,2013,1299
84.2,"Kytömäki, Anni.",Kultarinta,978-951-20-9484-4,2014,1294
84.2,"Rowling, J. K.",Harry Potter ja viisasten kivi,978-951-31-1146-5,1998,1291
84.2,"Jansson, Anna, kirjoittaja.",Amorin kiehkurat,978-951-20-9655-8,2014,1278
84.2,"Nopola, Sinikka, kirjoittaja.",Risto Räppääjä ja yöhaukka,978-951-31-8508-4,2015,1268
84.2,"Lindgren, Minna.",Ehtoolehdon pakolaiset,978-951-851-584-8,2014,1264
84.2,"Clark, Mary Higgins, kirjoittaja.",Katse menneisyydestä,978-951-31-7993-9,2015,1254
84.2 JÄN,"Jansson, Anna, kirjoittaja.",Hämärän lapset,978-951-20-9839-2,2015,1246
78.993,"Heikkinen, Antti, kirjoittaja.",Risainen elämä : Juice Leskinen 1950-2006,978-952-234-189-1,2014,1236
85.22,"Havukainen, Aino.",Veeran keittiöpuuhat,951-1-18221-8,2002,1219
84.2,"Ropponen, Markku, kirjoittaja.",Kuhala ja vapaa pudotus,978-951-31-8218-2,2015,1193
84.2,"Sandberg, Timo, kirjoittaja.",Häränsilmä : jännitysromaani,978-951-23-5909-7,2015,1190
84.2,"Sipilä, Jarkko.",Luupuisto,978-952-289-140-2,2014,1183
84.2 D,"Tuominen, Pirjo, kirjoittaja.",Varjo vierellä käy,978-951-31-8511-4,2015,1176
84.2,"Steel, Danielle, kirjoittaja.",Veren perintö,978-951-0-40894-0,2015,1172
84.2,"Jansson, Anna.",Tuhopolttaja,978-951-20-9470-7,2014,1164
